iata,name,long,lat,totalflights,numberofdelays,delaypercentage,carrierdelay,weatherdelay,nasdelay,securitydelay,lateaircraftdelay,betweenness,outdegree,indegree
AGS,Bush ,33.369955,-81.96449611,2403.0,554.0,23.0,11770.0,5020.0,14294.0,40.0,5699.0,0.0,0.009933774834437087,0.009933774834437087
AKN,King Salmon,58.67680167,-156.6492175,116.0,53.0,45.0,681.0,0.0,162.0,88.0,1491.0,0.0,0.006622516556291391,0.0033112582781456954
ALB,Albany Cty,42.74811944,-73.80297861,13474.0,2729.0,20.0,38135.0,12020.0,65729.0,54.0,55429.0,4.643810470283535e-06,0.059602649006622516,0.056291390728476824
ALO,Waterloo Municipal,42.55708139,-92.40034361,323.0,27.0,8.0,2201.0,0.0,296.0,0.0,132.0,0.0,0.0033112582781456954,0.0033112582781456954
AMA,Amarillo International,35.2193725,-101.7059272,7496.0,1140.0,15.0,11409.0,7896.0,9038.0,26.0,39961.0,2.8965054200956895e-05,0.023178807947019868,0.019867549668874173
ANC,Ted Stevens Anchorage International,61.17432028,-149.9961856,19327.0,3332.0,17.0,65329.0,8197.0,28231.0,370.0,61199.0,0.07210662358084305,0.09271523178807947,0.09271523178807947
ASE,Aspen-Pitkin Co/Sardy ,39.22316,-106.868845,5307.0,1226.0,23.0,16678.0,16262.0,17691.0,802.0,29776.0,4.805769375709377e-05,0.023178807947019868,0.029801324503311258
ATL,William B Hartsfield-Atlanta Intl,33.64044444,-84.42694444,414513.0,100706.0,24.0,1905172.0,426651.0,1550494.0,2096.0,1654864.0,0.20952914518675297,0.5695364238410596,0.5728476821192053
ATW,Outagamie County Regional,44.25740806,-88.51947556,5873.0,1194.0,20.0,21763.0,7465.0,31647.0,58.0,22201.0,0.0,0.023178807947019868,0.019867549668874173
AUS,Austin-Bergstrom International,30.19453278,-97.66987194,49623.0,8571.0,17.0,108018.0,16729.0,143296.0,340.0,199975.0,0.0037735067731941674,0.16556291390728478,0.16887417218543047
AVL,Asheville Regional,35.43619444,-82.54180556,4399.0,866.0,19.0,15236.0,4059.0,25386.0,23.0,14758.0,0.0,0.023178807947019868,0.023178807947019868
AVP,Wilkes-Barre/Scranton Intl,41.33814944,-75.72426750000001,2386.0,527.0,22.0,13020.0,2971.0,14136.0,71.0,9126.0,0.0,0.016556291390728478,0.013245033112582781
AZO,Kalamazoo County,42.234875,-85.55205749999999,3924.0,730.0,18.0,11083.0,1499.0,23452.0,35.0,16615.0,1.7988166861476345e-05,0.019867549668874173,0.013245033112582781
BDL,Bradley International,41.93887417,-72.68322833,29449.0,5663.0,19.0,78183.0,23457.0,129413.0,349.0,110398.0,0.0002297313160869164,0.10596026490066225,0.11258278145695365
BET,Bethel,60.77977639,-161.8379975,1035.0,201.0,19.0,1490.0,470.0,402.0,86.0,7549.0,0.0,0.0033112582781456954,0.0033112582781456954
BFL,Meadows ,35.43359806,-119.05676809999999,4502.0,529.0,11.0,8247.0,1155.0,11400.0,50.0,10133.0,4.782981768230095e-07,0.026490066225165563,0.029801324503311258
BGM,Binghamton Regional,42.20848278,-75.97961361,728.0,108.0,14.0,1826.0,725.0,2126.0,0.0,3463.0,0.0,0.0033112582781456954,0.0033112582781456954
BGR,Bangor International,44.80744444,-68.82813889,2879.0,745.0,25.0,12845.0,5705.0,29332.0,16.0,4572.0,1.2865410281662985e-06,0.026490066225165563,0.023178807947019868
BHM,Birmingham International,33.56294306,-86.75354972,23679.0,4622.0,19.0,58156.0,14774.0,94062.0,290.0,110059.0,0.0003287580445558555,0.09933774834437085,0.09933774834437085
BIL,Billings Logan Intl,45.8076625,-108.54286110000001,4505.0,450.0,9.0,5943.0,1961.0,5462.0,57.0,12729.0,0.0,0.013245033112582781,0.013245033112582781
BIS,Bismarck Municipal,46.77411111,-100.74672220000001,2293.0,338.0,14.0,4609.0,1498.0,3833.0,14.0,8392.0,0.0,0.006622516556291391,0.006622516556291391
BJI,Bemidji-Beltrami County,47.50942417,-94.93372333,74.0,6.0,8.0,0.0,0.0,336.0,0.0,47.0,0.0,0.0033112582781456954,0.0033112582781456954
BLI,Bellingham Intl,48.79275,-122.53752779999999,120.0,4.0,3.0,54.0,139.0,25.0,0.0,0.0,0.0,0.0033112582781456954,0.0033112582781456954
BMI,Central Illinois Regional,40.47798556,-88.91595278,4801.0,1082.0,22.0,17396.0,4739.0,29923.0,23.0,24673.0,0.0,0.016556291390728478,0.019867549668874173
BNA,Nashville International,36.12447667,-86.67818222,57539.0,11577.0,20.0,139282.0,23346.0,191910.0,276.0,309389.0,0.0010607448691271756,0.15894039735099338,0.15894039735099338
BOI,Boise Air Terminal,43.56444444,-116.22277779999999,17024.0,2542.0,14.0,29869.0,2298.0,46962.0,366.0,77432.0,0.00012033648270648211,0.056291390728476824,0.056291390728476824
BOS,Gen Edw L Logan Intl,42.3643475,-71.00517917,117915.0,27067.0,22.0,338024.0,94205.0,690867.0,1746.0,532912.0,0.005334885699833588,0.20198675496688742,0.2119205298013245
BPT,Southeast Texas Regional,29.95083333,-94.02069444,276.0,16.0,5.0,724.0,316.0,165.0,0.0,0.0,0.0,0.0033112582781456954,0.0033112582781456954
BQK,Glynco Jetport,31.25902778,-81.46630556,925.0,137.0,14.0,2654.0,1114.0,3093.0,4.0,1663.0,0.0,0.0033112582781456954,0.0033112582781456954
BQN,Rafael Hernandez,18.49486111,-67.12944444,1519.0,205.0,13.0,4906.0,0.0,2077.0,59.0,5634.0,3.6980285592219693e-07,0.009933774834437087,0.009933774834437087
