"Origin","Dest","number_of_flights","total_arrival_delay_minutes","total_dep_delay_minutes","number_of_delays"
"MSY","JAX","365","3062","3485","69"
"MSY","JFK","351","1469","2395","40"
"MSY","LAS","651","1149","2455","89"
"MSY","LAX","785","3488","6483","170"
"MSY","LGA","366","9998","8306","177"
"MSY","MCO","1983","17629","25197","451"
"MSY","MEM","1309","-2509","309","93"
"MSY","MIA","1098","5037","5455","149"
"MSY","MSP","896","-870","2240","96"
"MSY","ORD","2100","32202","30044","568"
"MSY","PHL","732","11850","7733","241"
"MSY","PHX","975","1107","5481","144"
"MSY","PIT","759","4844","2556","130"
"MSY","PNS","353","-531","113","20"
"MSY","SAN","148","-1599","1589","13"
"MSY","SAT","198","2813","2430","42"
"MSY","SFO","366","3073","2071","97"
"MSY","SLC","729","4532","3314","148"
"MSY","STL","1708","11358","11331","251"
"MSY","TPA","2394","20590","25476","499"
"MTJ","DEN","28","72","84","5"
"MTJ","DFW","17","277","28","6"
"MTJ","EWR","17","32","22","3"
"MTJ","IAH","135","-837","-638","12"
"MYR","CLT","2377","7677","4086","293"
"MYR","EWR","274","1244","2100","48"
"MYR","PHL","47","569","142","12"
"MYR","PIT","47","32","240","5"
"OAK","ABQ","699","9189","11991","208"
"OAK","BNA","365","-3555","727","7"
"OAK","BOI","366","2645","3761","67"
"OAK","BUR","5124","65971","68761","1355"
"OAK","DEN","1860","23583","20442","460"
"OAK","DFW","2256","14136","17534","376"
"OAK","EWR","229","1831","2291","54"
"OAK","GEG","366","1577","3959","53"
"OAK","HNL","31","312","183","12"
"OAK","IAH","398","293","1437","42"
"OAK","LAS","3177","39333","38508","793"
"OAK","LAX","11944","179768","183295","3773"
"OAK","MCI","729","1956","5789","91"
"OAK","OGG","31","379","308","12"
"OAK","ONT","4512","40653","49009","861"
"OAK","ORD","1295","21426","22051","408"
"OAK","PDX","3837","23531","40425","676"
"OAK","PHX","3149","25490","30028","555"
"OAK","RNO","2449","30854","34438","600"
"OAK","SAN","3795","39691","42717","804"
"OAK","SEA","5274","56459","74404","1352"
"OAK","SJC","1","57","49","1"
"OAK","SLC","1083","7019","12169","198"
"OAK","SNA","4133","33844","33444","780"
"OGG","DFW","40","112","244","8"
"OGG","HNL","2195","7709","5876","156"
"OGG","ITO","122","410","283","8"
"OGG","KOA","122","380","210","8"
"OGG","LAX","1830","8006","13722","326"
"OGG","LIH","122","474","286","11"
"OGG","OAK","61","2490","3215","38"
"OGG","SFO","815","14870","13133","231"
"OGG","SJC","17","461","219","4"
"OGG","STL","297","7157","5974","121"
"OKC","ATL","1079","6128","8667","196"
"OKC","AUS","1","143","143","1"
"OKC","CVG","241","125","734","19"
"OKC","DAL","2614","22334","25188","454"
"OKC","DEN","1758","32560","26862","536"
"OKC","DFW","1091","5412","4515","112"
"OKC","ELP","1","30","23","1"
"OKC","HOU","1348","10559","10626","232"
"OKC","IAH","1385","4821","4405","164"
"OKC","LAS","337","2944","4426","68"
"OKC","MCI","1975","23235","24995","461"
"OKC","MEM","1289","1799","3844","119"
"OKC","ORD","1097","11914","9697","271"
"OKC","PHX","1095","7765","11673","211"
"OKC","SLC","727","6655","6976","157"
"OKC","STL","3116","25334","30910","526"
"OKC","TUL","724","4643","4736","133"
"OMA","ATL","969","4769","7732","139"
"OMA","DEN","2077","25345","22278","483"
"OMA","DFW","1458","7650","7407","201"
"OMA","IAH","344","1651","1579","37"
"OMA","LAS","1129","10908","14341","242"
"OMA","MDW","2103","21646","21902","434"
"OMA","MEM","365","-316","940","18"
"OMA","MSP","2266","6165","13047","254"
"OMA","ORD","1587","31405","33597","514"
"OMA","PHX","2172","25646","25925","539"
"OMA","STL","2791","19606","26577","425"
"OME","ANC","688","11741","12506","209"
"OME","OTZ","252","2668","3628","55"
"ONT","ATL","549","21","4067","73"
"ONT","BNA","295","-1604","2565","26"
"ONT","DEN","1377","15240","14516","328"
"ONT","DFW","2912","2529","6364","234"
"ONT","IAH","824","1422","1474","97"
"ONT","LAS","3692","39462","41933","851"
"ONT","MSP","731","-2091","4372","82"
"ONT","OAK","4151","47137","57608","1050"
"ONT","ORD","787","10527","10498","235"
"ONT","PDX","1063","12717","17963","224"
"ONT","PHX","7526","69641","71730","1379"
"ONT","SEA","1503","16431","18532","340"
"ONT","SFO","2163","41530","42328","635"
"ONT","SJC","2454","29953","32080","653"
"ONT","SLC","1089","9062","8144","151"
"ONT","SMF","3686","31207","40789","754"
"ONT","STL","918","624","2710","101"
"ORD","ABE","1035","17770","18896","319"
"ORD","ABQ","715","14461","15045","247"
"ORD","ALB","2178","34906","33341","622"
"ORD","ANC","389","7297","6917","162"
"ORD","ATL","9884","135161","136181","2684"
"ORD","AUS","2911","39453","46721","885"
"ORD","BDL","4158","64351","64153","1203"
"ORD","BHM","317","4984","4650","93"
"ORD","BNA","2726","45828","45249","809"
"ORD","BOI","455","14618","13967","212"
"ORD","BOS","9522","170689","140681","2972"
"ORD","BTV","804","15869","15032","282"
"ORD","BUF","3527","64365","57064","1072"
"ORD","BWI","3134","58958","51904","987"
"ORD","CID","1640","28600","27045","513"
"ORD","CLE","2989","43552","39400","842"
"ORD","CLT","4392","73836","61600","1314"
"ORD","CMH","2081","36832","33296","687"
"ORD","COS","738","20756","19091","296"
"ORD","CVG","4844","59887","56558","1144"
"ORD","DAL","1015","9428","8294","236"
"ORD","DAY","1689","28619","28607","506"
"ORD","DCA","8796","120257","111056","2376"
"ORD","DEN","7537","133395","131246","2421"
"ORD","DFW","11361","123823","138174","2980"
"ORD","DSM","2113","40259","35850","738"
"ORD","DTW","8192","111258","111481","2148"
"ORD","EGE","222","3455","3809","70"
"ORD","ELP","823","11745","12771","252"
"ORD","EWR","11851","178014","172714","3293"
"ORD","FLL","1932","23964","25954","484"
"ORD","GEG","461","14496","14288","236"
"ORD","GRR","1736","34608","34597","613"
"ORD","GSO","1173","28807","27174","447"
"ORD","HDN","92","1655","1019","34"
"ORD","HNL","731","11032","16565","240"
"ORD","HPN","3557","53808","47677","948"
"ORD","IAD","3477","53647","59610","987"
"ORD","IAH","6513","92478","100279","1908"
"ORD","ICT","1062","22021","20800","368"
"ORD","IND","2653","52528","46572","935"
"ORD","ISP","9","87","39","3"
"ORD","JAC","130","3722","4411","51"
"ORD","JAX","732","11809","13460","245"
"ORD","JFK","323","1163","4242","69"
"ORD","LAS","4209","96861","99422","1714"
"ORD","LAX","11002","173048","193903","3542"
"ORD","LGA","10876","254128","186351","4318"
"ORD","LGB","491","-181","5990","85"
"ORD","LNK","730","16039","12823","287"
"ORD","MBS","1409","23567","24901","425"
"ORD","MCI","3929","79675","77130","1382"
"ORD","MCO","3742","62306","61574","1134"
"ORD","MDT","2532","46381","46643","805"
"ORD","MEM","2543","32204","31108","646"
"ORD","MHT","1094","26536","26817","427"
"ORD","MIA","5301","82381","98381","1551"
"ORD","MKE","693","11297","12403","219"
"ORD","MSN","457","5379","4741","97"
"ORD","MSP","12993","141220","135798","3139"
"ORD","MSY","2099","31438","36996","636"
"ORD","OAK","1175","29223","29361","466"
"ORD","OKC","1095","17536","18645","347"
"ORD","OMA","1939","43084","38720","722"
"ORD","ONT","789","19470","19040","336"
"ORD","ORF","1215","25715","25028","457"
"ORD","PBI","946","13951","15796","263"
"ORD","PDX","2779","58353","54030","1151"
"ORD","PHL","10531","175120","146628","3162"
"ORD","PHX","6306","119113","117897","2212"
"ORD","PIT","4557","83881","76237","1446"
"ORD","PSP","548","3683","7227","145"
"ORD","PVD","2900","57764","55936","1025"
"ORD","PWM","1029","16043","16632","326"
"ORD","RDU","3688","62875","62673","1094"
"ORD","RIC","1423","25490","24016","455"
"ORD","RNO","1092","17678","22453","353"
"ORD","ROC","3525","53706","50937","996"
"ORD","RST","1420","19816","17193","390"
"ORD","RSW","660","9775","9109","176"
"ORD","SAN","3981","59557","68403","1321"
"ORD","SAT","2214","33096","39956","710"
"ORD","SDF","317","4794","4022","101"
"ORD","SEA","4785","92939","94507","1877"
"ORD","SFO","7142","150405","155436","2766"
"ORD","SJC","3478","56216","62928","1188"
"ORD","SJU","1554","21572","22731","426"
"ORD","SLC","2937","59857","57532","1061"
"ORD","SMF","1485","34920","31177","648"
"ORD","SNA","3608","55936","61346","1189"
"ORD","STL","7007","119235","113113","2077"
"ORD","STT","97","421","1042","20"
"ORD","SWF","1278","16455","19266","363"
"ORD","SYR","2177","29341","30174","583"
"ORD","TPA","2772","50993","52041","898"
"ORD","TUL","1496","22700","25094","432"
"ORD","TUS","1076","9561","16439","288"
"ORD","TYS","1031","19378","19258","340"
"ORF","ATL","2785","16514","18871","501"
"ORF","CLT","2161","6598","7985","295"
"ORF","CVG","1146","-9","2584","90"
"ORF","DFW","1097","5533","6775","164"
"ORF","DTW","1423","8238","10209","195"
"ORF","EWR","733","4738","5120","129"
"ORF","IAH","447","1971","1649","58"
"ORF","LGA","909","16790","12298","294"
"ORF","ORD","964","15612","15315","258"
"ORF","PHL","1806","20404","13921","416"
"ORF","PIT","1058","9153","7808","200"
"ORF","RIC","386","3574","3986","80"
"ORF","STL","1067","4581","4415","129"
"OTZ","ANC","406","3269","3611","66"
"OTZ","OME","476","11172","12064","179"
"PBI","ATL","3273","26232","27449","645"
"PBI","BDL","1097","19170","19936","362"
"PBI","BOS","1647","26222","27258","488"
"PBI","BWI","732","7765","8350","174"
"PBI","CLE","183","58","516","23"
"PBI","CLT","1871","12201","10087","305"
"PBI","CVG","729","7395","9385","146"
"PBI","DCA","886","4615","4292","131"
"PBI","DFW","1834","6064","9324","228"
"PBI","DTW","975","1612","4550","117"
"PBI","EWR","1980","35879","37548","519"
"PBI","IAH","698","-442","559","53"
"PBI","JFK","333","2350","3137","59"
"PBI","LGA","3076","70464","68260","1170"
"PBI","MIA","2","181","130","1"
"PBI","ORD","946","13391","10085","265"
"PBI","PHL","1295","20268","14248","370"
"PBI","PIT","721","4326","4961","107"
"PBI","STL","361","1093","1555","42"
"PBI","TPA","356","133","252","13"
"PDX","ANC","729","10748","12018","254"
"PDX","ATL","1088","-613","6161","138"
"PDX","BOI","1083","12631","14528","281"
"PDX","BUR","1062","9114","10403","195"
"PDX","CVG","1087","2322","7604","156"
"PDX","DEN","2614","41915","39394","738"
"PDX","DFW","2548","-2455","7349","243"
"PDX","DTW","637","-713","2956","71"
"PDX","EWR","363","2922","2992","82"
"PDX","GEG","1382","16384","17673","342"
"PDX","IAD","366","3979","5413","88"
"PDX","IAH","932","2881","7935","121"
"PDX","JFK","364","-634","852","51"
"PDX","LAS","2814","19010","24280","456"
"PDX","LAX","5420","61609","60456","1413"
"PDX","MCI","365","-3833","852","6"
"PDX","MSP","1475","-4344","4805","141"
"PDX","OAK","3871","28726","38686","701"
"PDX","ONT","1026","12188","11674","217"
"PDX","ORD","2849","40689","42964","808"
"PDX","PHX","3587","32471","38324","705"
"PDX","PSP","203","16","1041","19"
"PDX","RNO","1587","11370","13072","230"
"PDX","SAN","1425","9460","10091","232"
"PDX","SEA","1859","7406","6601","213"
"PDX","SFO","5826","110886","101097","1831"
"PDX","SJC","4616","30746","35876","765"
"PDX","SLC","2531","3427","14198","243"
"PDX","SMF","1801","15596","19257","339"
"PDX","SNA","769","6950","4860","152"
"PDX","STL","974","8513","11453","197"
"PHL","ALB","1830","29483","27061","603"
"PHL","ATL","8113","92974","91393","2196"
"PHL","AVP","366","10170","8585","151"
"PHL","BDL","2143","28103","25915","593"
"PHL","BNA","1098","13851","10284","308"
"PHL","BOS","5741","97039","75197","1797"
"PHL","BTV","1473","24629","18906","491"
"PHL","BUF","1830","31661","28231","598"
"PHL","BWI","1078","18721","18408","368"
"PHL","CLE","2996","25720","18783","655"
"PHL","CLT","3768","44368","35846","1050"
"PHL","CMH","1555","14157","13582","365"
"PHL","CVG","1447","8023","9596","255"
"PHL","DAY","710","11123","8736","229"
"PHL","DCA","1247","16667","16321","355"
"PHL","DEN","2745","38531","32597","827"
"PHL","DFW","3809","36192","41121","941"
"PHL","DTW","4262","37827","38657","884"
"PHL","EWR","2","69","30","2"
"PHL","FLL","2466","34841","37655","816"
"PHL","GSO","1464","19404","14676","454"
"PHL","GSP","366","5266","5353","98"
"PHL","IAD","725","14154","13207","236"
"PHL","IAH","2830","23583","21875","682"
"PHL","IND","2126","26541","20340","611"
"PHL","JAX","1076","22906","20697","429"
"PHL","JFK","295","2070","1410","64"
"PHL","LAS","1619","31321","28046","635"
"PHL","LAX","3024","38238","45148","964"
"PHL","LGA","375","9038","7892","164"
"PHL","MCI","1406","18179","16321","432"
"PHL","MCO","3416","59365","62709","1252"
"PHL","MEM","1042","2927","2915","169"
"PHL","MHT","1830","28022","25621","564"
"PHL","MIA","2522","27603","33525","663"
"PHL","MSP","2921","18973","25388","665"
"PHL","MSY","732","12005","10909","270"
"PHL","MYR","47","120","414","10"
"PHL","ORD","10502","172954","131151","2965"
"PHL","ORF","1806","28266","26891","573"
"PHL","PBI","1302","20939","21315","444"
"PHL","PHX","2456","29019","32150","720"
"PHL","PIT","4501","70757","58634","1359"
"PHL","PVD","1830","31108","26951","626"
"PHL","PWM","1682","22227","20459","497"
"PHL","RDU","1830","26116","23916","581"
"PHL","RIC","2034","19740","18887","493"
"PHL","ROC","1830","27255","23140","534"
"PHL","RSW","1070","20622","23641","394"
"PHL","SAN","744","8655","13068","251"
"PHL","SDF","365","8048","8131","127"
"PHL","SEA","925","17807","18964","361"
"PHL","SFO","2342","40034","40642","858"
"PHL","SJU","1570","18492","19457","414"
"PHL","SLC","729","4324","5880","153"
"PHL","STL","2612","33252","26499","650"
"PHL","STT","366","5177","4989","126"
"PHL","SYR","1473","20770","15502","436"
"PHL","TPA","2687","52536","48512","990"
"PHX","ABQ","6457","88661","94918","1895"
"PHX","ANC","97","2580","1918","46"
"PHX","ATL","4243","22216","37448","848"
"PHX","AUS","3169","44290","46061","904"
"PHX","BDL","274","6160","5511","124"
"PHX","BHM","366","1246","5979","53"
"PHX","BNA","1025","4453","12162","153"
"PHX","BOI","777","10104","12883","212"
"PHX","BOS","1381","23720","22532","515"
"PHX","BUF","85","1086","2579","29"
"PHX","BUR","4486","51976","54349","1102"
"PHX","BWI","2653","42292","57211","879"
"PHX","CLE","1425","4346","9600","231"
"PHX","CLT","740","-146","2353","122"
"PHX","CMH","1459","15624","22189","372"
"PHX","COS","998","13244","14866","279"
"PHX","CVG","1447","4342","10246","192"
"PHX","DCA","173","3361","3946","54"
"PHX","DEN","6420","99398","100345","1929"
"PHX","DFW","6670","41716","43215","1067"
"PHX","DTW","3172","31510","40037","739"
"PHX","ELP","4367","58013","58614","1295"
"PHX","EWR","2780","38399","49395","871"
"PHX","FLL","366","11122","10471","195"
"PHX","GEG","864","3943","10436","186"
"PHX","HOU","2108","20958","27184","501"
"PHX","IAD","388","2646","4395","91"
"PHX","IAH","3632","45918","40576","946"
"PHX","ICT","727","9291","10024","185"
"PHX","IND","933","17295","21934","343"
"PHX","JFK","1456","22929","21639","510"
"PHX","LAS","12906","188101","186596","3841"
"PHX","LAX","17041","239931","246077","5099"
"PHX","LGB","1737","18426","16134","420"
"PHX","LIT","366","7740","10514","163"
"PHX","MCI","3279","31444","45173","820"
"PHX","MCO","741","9357","15960","222"
"PHX","MDW","731","7340","9448","185"
"PHX","MEM","335","1990","2189","56"
"PHX","MIA","366","5607","5358","123"
"PHX","MKE","760","8850","9321","242"
"PHX","MSP","3534","22591","33911","774"
"PHX","MSY","973","11227","14475","291"
"PHX","OAK","3117","35766","44293","813"
"PHX","OKC","1094","19663","23970","453"
"PHX","OMA","2170","24175","26666","552"
"PHX","ONT","7534","104897","105472","2094"
"PHX","ORD","6304","136605","129001","2337"
"PHX","PDX","3586","37559","43519","951"
"PHX","PHL","2451","18992","25567","625"
"PHX","PIT","1356","-2347","4202","173"
"PHX","PSP","30","729","430","16"
"PHX","PVD","365","1257","7433","68"
"PHX","RNO","2580","37038","39128","782"
"PHX","SAN","8066","120572","114534","2614"
"PHX","SAT","2498","34863","38749","717"
"PHX","SDF","366","3339","7448","85"
"PHX","SEA","5433","75922","83894","1757"
"PHX","SFO","6800","167793","176773","2680"
"PHX","SJC","4507","50419","53796","1220"
"PHX","SLC","5634","55490","68986","1338"
"PHX","SMF","3476","50476","52992","1060"
"PHX","SNA","2783","32507","27042","763"
"PHX","STL","4828","60771","82663","1317"
"PHX","TPA","366","4922","7376","99"
"PHX","TUL","1079","8297","14905","238"
"PHX","TUS","4598","51775","48742","1131"
"PIA","STL","17","26","11","1"
"PIT","ABE","1464","13422","11177","303"
"PIT","ALB","1457","12724","13629","305"
"PIT","ATL","3930","33484","31684","875"
"PIT","AVP","1158","13594","13593","279"
"PIT","BDL","1796","13252","11567","317"
"PIT","BGM","796","7687","6473","183"
"PIT","BNA","1458","10784","10236","299"
"PIT","BOS","2873","50694","38667","911"
"PIT","BTV","357","4337","3457","83"
"PIT","BUF","1458","16582","14382","348"
"PIT","BWI","2102","23076","16943","462"
"PIT","CAK","1052","4367","6698","180"
"PIT","CLT","4764","44569","34991","1032"
"PIT","CMH","2160","19687","15773","433"
"PIT","CRW","1146","7944","8532","227"
"PIT","CVG","1078","-955","2032","117"
"PIT","DAY","1467","16458","13213","348"
"PIT","DCA","2217","21409","18593","486"
"PIT","DEN","1301","6889","11429","269"
"PIT","DFW","2534","17680","20872","548"
"PIT","DTW","2363","12972","10268","442"
"PIT","ELM","731","5663","5259","140"
"PIT","ERI","1440","8464","9614","245"
"PIT","EWR","2546","28875","32038","636"
"PIT","FLL","1118","12464","15569","289"
"PIT","GRR","1042","7240","8433","209"
"PIT","GSO","728","7566","6990","162"
"PIT","HPN","691","3407","3834","116"
"PIT","IAD","346","2119","2712","55"
"PIT","IAH","2453","9195","11908","468"
"PIT","IND","1805","22051","17924","469"
"PIT","ITH","1041","7066","6644","202"
"PIT","LAS","852","6041","10182","217"
"PIT","LAX","1807","22408","25169","578"
"PIT","LEX","1015","6896","6912","178"
"PIT","LGA","3409","62939","47723","1243"
"PIT","MCI","1445","14666","15790","380"
"PIT","MCO","2519","27688","29375","653"
"PIT","MDT","1464","13675","11739","306"
"PIT","MHT","1093","14277","14500","276"
"PIT","MIA","833","6776","8433","199"
"PIT","MKE","1417","9297","8867","258"
"PIT","MSP","2146","11872","15665","406"
"PIT","MSY","758","4089","5452","159"
"PIT","MYR","48","516","452","9"
"PIT","ORD","4531","76073","67788","1375"
"PIT","ORF","1056","8568","6043","188"
"PIT","PBI","693","11425","10872","223"
"PIT","PHL","4080","54042","43435","1164"
"PIT","PHX","1355","17765","20674","416"
"PIT","PVD","1328","14465","12538","304"
"PIT","PWM","701","7022","6152","165"
"PIT","RDU","1401","13064","10437","291"
"PIT","RIC","1374","7655","7162","215"
"PIT","ROA","786","6566","5379","163"
"PIT","ROC","1463","11658","9678","302"
"PIT","RSW","642","7187","8797","158"
"PIT","SAN","1097","4702","12688","250"
"PIT","SBN","1353","10015","11806","284"
"PIT","SDF","1431","14308","12347","320"
"PIT","SEA","1189","12439","16545","345"
"PIT","SFO","1671","21005","27575","497"
"PIT","SJU","366","4061","2857","103"
"PIT","SNA","732","5333","6690","193"
"PIT","STL","3039","20521","20455","535"
"PIT","SYR","1445","17244","14237","342"
"PIT","TOL","901","7787","6848","173"
"PIT","TPA","1923","27194","26488","562"
"PNS","ATL","2514","17322","20834","472"
"PNS","BTR","360","805","397","53"
"PNS","CLT","1337","3252","2761","146"
"PNS","IAH","716","-915","569","64"
"PNS","JAN","180","-350","-321","12"
"PNS","JAX","92","136","144","10"
"PNS","MOB","182","555","470","18"
"PNS","MSY","353","-507","-506","11"
"PSC","GEG","365","-2912","-2662","39"
"PSC","SLC","1089","4340","4021","111"
"PSG","JNU","364","4993","6470","89"
"PSG","WRG","364","3488","3482","85"
"PSP","DEN","185","1132","897","30"
"PSP","DFW","800","5506","4026","113"
"PSP","IAH","135","61","227","9"
"PSP","LAX","918","3940","8855","187"
"PSP","MSP","202","308","742","28"
"PSP","ORD","550","5510","6482","138"
"PSP","PDX","203","2892","3512","75"
"PSP","PHX","29","312","251","7"
"PSP","SEA","543","7524","7753","158"
"PSP","SFO","935","11068","10076","218"
"PSP","SJC","163","1152","1216","25"
"PVD","ATL","1460","10844","11285","304"
"PVD","BNA","706","4361","7706","118"
"PVD","BWI","6356","67257","68376","1368"
"PVD","CLE","568","-224","485","53"
"PVD","CLT","970","5075","3859","178"
"PVD","CVG","730","4318","5792","98"
"PVD","DCA","1334","3748","2410","156"
"PVD","DTW","1687","959","5437","192"
"PVD","EWR","718","756","2495","81"
"PVD","FLL","9","141","257","2"
"PVD","HOU","161","449","2491","31"
"PVD","IAH","364","991","1546","62"
"PVD","ISP","586","354","2761","41"
"PVD","MCI","365","-2428","1398","28"
"PVD","MCO","1728","6099","12926","281"
"PVD","MDW","1067","7594","11597","195"
"PVD","ORD","2903","37580","35105","765"
"PVD","PHL","1830","25758","16634","499"
"PVD","PHX","366","-316","1508","62"
"PVD","PIT","1332","11784","10339","263"
"PVD","TPA","745","-1118","3637","78"
"PWM","ATL","729","5595","5961","158"
"PWM","BDL","304","1065","1347","34"
"PWM","CVG","1085","2272","3998","137"
"PWM","DTW","517","434","4900","71"
"PWM","MHT","363","3381","3416","69"
"PWM","ORD","727","13666","12004","225"
"PWM","PHL","1302","15680","11247","311"
"PWM","PIT","1080","4201","5636","166"
"RAP","MSP","1275","-3555","1228","100"
"RDU","ATL","3250","15468","18367","538"
"RDU","AUS","274","-3511","780","7"
"RDU","BNA","1783","18980","27842","397"
"RDU","BOS","319","5263","3293","91"
"RDU","BWI","1519","10384","16588","229"
"RDU","CLT","3259","16916","13697","478"
"RDU","CVG","1076","4039","4136","127"
"RDU","DCA","1232","5751","4563","170"
"RDU","DFW","2556","12493","17293","408"
"RDU","DTW","1677","10085","11812","262"
"RDU","EWR","1625","12601","19553","297"
"RDU","GSO","1","18","6","1"
"RDU","IAD","644","3173","4067","102"
"RDU","IAH","1001","856","1356","114"
"RDU","LGA","1230","20389","15006","401"
"RDU","MCI","110","792","363","26"
"RDU","MCO","1429","7119","10641","235"
"RDU","MDW","1091","4203","9911","140"
"RDU","MEM","724","3623","3763","100"
"RDU","MIA","732","4725","6348","122"
"RDU","MSP","996","2705","4799","149"
"RDU","ORD","3692","54276","46416","989"
"RDU","PHL","1791","29452","20737","573"
"RDU","PIT","1447","7145","7427","196"
"RDU","RIC","357","846","467","42"
"RDU","STL","1399","9365","7110","236"
"RDU","TPA","784","8202","11416","202"
"RIC","ATL","2873","13490","20873","467"
"RIC","BOS","168","3434","2858","58"
"RIC","CLT","2501","10437","11362","330"
"RIC","CVG","812","3050","2960","108"
"RIC","DFW","730","3849","5271","114"
"RIC","DTW","1305","1302","4881","122"
"RIC","EWR","687","8589","7737","173"
"RIC","IAH","364","223","-123","35"
"RIC","LGA","1211","17507","14545","370"
"RIC","MIA","1","43","11","1"
"RIC","ORD","1673","28598","27026","474"
"RIC","ORF","881","4639","3065","116"
"RIC","PHL","2012","16136","12069","370"
"RIC","PIT","1440","5755","7439","181"
"RIC","STL","704","7786","7420","157"
"RNO","BOI","1036","13459","14658","289"
"RNO","DEN","730","6973","5619","141"
"RNO","DFW","2176","6916","14012","297"
"RNO","DTW","240","-1206","-313","29"
"RNO","HOU","33","-659","250","1"
"RNO","IAH","365","967","1111","64"
"RNO","LAS","4322","48548","48220","1000"
"RNO","LAX","3724","64503","56008","1169"
"RNO","MSP","731","-2123","1304","69"
"RNO","OAK","2492","18855","23265","423"
"RNO","ORD","1093","14285","15671","287"
"RNO","PDX","1608","20330","23423","419"
"RNO","PHX","2550","15075","19087","378"
"RNO","SAN","522","2646","4306","81"
"RNO","SEA","2631","30069","37854","655"
"RNO","SFO","1478","31083","31445","496"
"RNO","SJC","2537","25977","25878","570"
"RNO","SLC","1764","7594","11440","207"
"RNO","SNA","519","2180","2263","67"
"RNO","STL","121","-805","-51","8"
"ROA","CLT","1152","4351","2927","141"
"ROA","PIT","1065","6431","3733","159"
"ROC","ATL","1017","4115","4799","196"
"ROC","BOS","604","11164","6386","196"
"ROC","BUF","297","5365","5853","86"
"ROC","CLT","366","3195","1660","83"
"ROC","DCA","1007","4380","3662","146"
"ROC","DTW","1195","4160","5405","162"
"ROC","EWR","179","1805","843","51"
"ROC","IAD","366","4132","4646","79"
"ROC","LGA","1310","21423","17732","419"
"ROC","MCO","47","399","512","15"
"ROC","ORD","3592","48223","45183","878"
"ROC","PHL","1830","24748","17982","509"
"ROC","PIT","1446","9748","7331","282"
"ROC","SYR","694","7507","19067","192"
"RST","MSP","809","-1008","-1","51"
"RST","ORD","1426","14026","10591","290"
"RSW","ATL","2945","10705","18542","431"
"RSW","BOS","960","22177","22172","321"
"RSW","BWI","119","2186","2890","45"
"RSW","CLE","688","2224","1722","95"
"RSW","CLT","1846","10248","7121","262"
"RSW","CMH","286","953","1494","42"
"RSW","CVG","938","7424","7991","151"
"RSW","DCA","34","-256","-13","1"
"RSW","DFW","137","429","437","14"
"RSW","DTW","1128","901","5166","150"
"RSW","EWR","978","14576","16174","225"
"RSW","IAD","140","978","1267","19"
"RSW","IAH","374","-493","68","29"
"RSW","LGA","485","12202","10070","200"
"RSW","MEM","61","-825","-122","1"
"RSW","MSP","403","3017","3977","74"
"RSW","ORD","659","10052","8488","163"
"RSW","PHL","1080","11874","8414","271"
"RSW","PIT","641","2939","3940","111"
"RSW","STL","1052","3948","4082","141"
"SAN","ABQ","1093","12556","16904","304"
"SAN","ATL","1809","780","8930","253"
"SAN","AUS","274","827","3089","50"
"SAN","BNA","387","1091","3228","59"
"SAN","BOS","364","1903","1960","77"
"SAN","CLE","273","1281","341","40"
"SAN","CLT","569","-151","1703","89"
"SAN","CVG","1084","-200","2230","117"
"SAN","DEN","2395","33975","30581","648"
"SAN","DFW","4357","20057","16973","547"
"SAN","DTW","746","-2640","1177","83"
"SAN","ELP","731","4543","6963","113"
"SAN","EWR","948","3178","5340","185"
"SAN","IAD","1077","6671","9782","257"
"SAN","IAH","1816","14302","13310","345"
"SAN","JFK","856","-1246","4971","131"
"SAN","LAS","5447","67171","71823","1418"
"SAN","LAX","2573","20217","27263","560"
"SAN","MCI","366","1374","3863","72"
"SAN","MEM","213","-1921","27","6"
"SAN","MSP","1459","-3655","3549","163"
"SAN","MSY","148","-2024","459","3"
"SAN","OAK","3847","40620","49497","926"
"SAN","ONT","205","-5","-210","8"
"SAN","ORD","4421","53358","54610","1110"
"SAN","PDX","1425","3970","8515","179"
"SAN","PHL","745","2655","2472","169"
"SAN","PHX","7883","106284","101939","2091"
"SAN","PIT","1096","-1310","3925","122"
"SAN","RNO","522","6132","4867","107"
"SAN","SEA","2802","32394","35095","785"
"SAN","SFO","7320","168623","179076","2591"
"SAN","SJC","5231","78093","80073","1634"
"SAN","SLC","1818","11202","15045","245"
"SAN","SMF","3852","47569","55169","1048"
"SAN","STL","1462","7948","9755","240"
"SAN","TUS","1092","10819","13168","246"
"SAT","ATL","2508","17983","20464","456"
"SAT","AUS","730","4627","4385","104"
"SAT","BNA","365","-875","363","10"
"SAT","BWI","366","1393","2869","51"
"SAT","CVG","723","3832","4523","95"
"SAT","DAL","4971","50562","59202","1012"
"SAT","DEN","912","13299","10488","242"
"SAT","DFW","6503","40666","33018","786"
"SAT","ELP","1340","13569","16342","298"
"SAT","EWR","331","8101","9550","120"
"SAT","HOU","4408","43344","45555","894"
"SAT","HRL","722","5683","7932","113"
"SAT","IAH","3776","27514","25042","575"
"SAT","JFK","1","195","169","1"
"SAT","LAS","1436","3839","10601","184"
"SAT","LAX","697","-689","5738","94"
"SAT","MCO","366","145","1116","24"
"SAT","MEM","1094","-4780","-269","41"
"SAT","MSP","396","349","1187","55"
"SAT","MSY","198","193","-115","8"
"SAT","ORD","2213","24314","22313","497"
